year,week,file
2010,10,ipgb20100309_wk10.zip
2010,11,ipgb20100316_wk11.zip
2010,12,ipgb20100323_wk12.zip
2010,13,ipgb20100330_wk13.zip
2010,14,ipgb20100406_wk14.zip
2010,15,ipgb20100413_wk15.zip
2010,16,ipgb20100420_wk16.zip
2010,17,ipgb20100427_wk17.zip
2010,18,ipgb20100504_wk18.zip
2010,19,ipgb20100511_wk19.zip
2010,20,ipgb20100518_wk20.zip
2010,21,ipgb20100525_wk21.zip
2010,22,ipgb20100601_wk22.zip
2010,23,ipgb20100608_wk23.zip
2010,24,ipgb20100615_wk24.zip
2010,25,ipgb20100622_wk25.zip
2010,26,ipgb20100629_wk26.zip
2010,27,ipgb20100706_wk27.zip
2010,28,ipgb20100713_wk28.zip
2010,29,ipgb20100720_wk29.zip
2010,30,ipgb20100727_wk30.zip
2010,31,ipgb20100803_wk31.zip
2010,32,ipgb20100810_wk32.zip
2010,33,ipgb20100817_wk33.zip
2010,34,ipgb20100824_wk34.zip
2010,35,ipgb20100831_wk35.zip
2010,36,ipgb20100907_wk36.zip
2010,37,ipgb20100914_wk37.zip
2010,38,ipgb20100921_wk38.zip
2010,39,ipgb20100928_wk39.zip
2010,40,ipgb20101005_wk40.zip
2010,41,ipgb20101012_wk41.zip
2010,42,ipgb20101019_wk42.zip
2010,43,ipgb20101026_wk43.zip
2010,44,ipgb20101102_wk44.zip
2010,45,ipgb20101109_wk45.zip
2010,46,ipgb20101116_wk46.zip
2010,47,ipgb20101123_wk47.zip
2010,48,ipgb20101130_wk48.zip
2010,49,ipgb20101207_wk49.zip
2010,50,ipgb20101214_wk50.zip
2010,51,ipgb20101221_wk51.zip
2010,52,ipgb20101228_wk52.zip
2011,1,ipgb20110104_wk01.zip
2011,2,ipgb20110111_wk02.zip
2011,3,ipgb20110118_wk03.zip
2011,4,ipgb20110125_wk04.zip
2011,5,ipgb20110201_wk05.zip
2011,6,ipgb20110208_wk06.zip
2011,7,ipgb20110215_wk07.zip
2011,8,ipgb20110222_wk08.zip
2011,9,ipgb20110301_wk09.zip
2011,10,ipgb20110308_wk10.zip
2011,11,ipgb20110315_wk11.zip
2011,12,ipgb20110322_wk12.zip
2011,13,ipgb20110329_wk13.zip
2011,14,ipgb20110405_wk14.zip
2011,15,ipgb20110412_wk15.zip
2011,16,ipgb20110419_wk16.zip
2011,17,ipgb20110426_wk17.zip
2011,18,ipgb20110503_wk18.zip
2011,19,ipgb20110510_wk19.zip
2011,20,ipgb20110517_wk20.zip
2011,21,ipgb20110524_wk21.zip
2011,22,ipgb20110531_wk22.zip
2011,23,ipgb20110607_wk23.zip
2011,24,ipgb20110614_wk24.zip
2011,25,ipgb20110621_wk25.zip
2011,26,ipgb20110628_wk26.zip
2011,27,ipgb20110705_wk27.zip
2011,28,ipgb20110712_wk28.zip
2011,29,ipgb20110719_wk29.zip
2011,30,ipgb20110726_wk30.zip
2011,31,ipgb20110802_wk31.zip
2011,32,ipgb20110809_wk32.zip
2011,33,ipgb20110816_wk33.zip
2011,34,ipgb20110823_wk34.zip
2011,35,ipgb20110830_wk35.zip
2011,36,ipgb20110906_wk36.zip
2011,37,ipgb20110913_wk37.zip
2011,38,ipgb20110920_wk38.zip
2011,39,ipgb20110927_wk39.zip
2011,40,ipgb20111004_wk40.zip
2011,41,ipgb20111011_wk41.zip
2011,42,ipgb20111018_wk42.zip
2011,43,ipgb20111025_wk43.zip
2011,44,ipgb20111101_wk44.zip
2011,45,ipgb20111108_wk45.zip
2011,46,ipgb20111115_wk46.zip
2011,47,ipgb20111122_wk47.zip
2011,48,ipgb20111129_wk48.zip
2011,49,ipgb20111206_wk49.zip
2011,50,ipgb20111213_wk50.zip
2011,51,ipgb20111220_wk51.zip
2011,52,ipgb20111227_wk52.zip
2012,1,ipgb20120103_wk01.zip
2012,2,ipgb20120110_wk02.zip
2012,3,ipgb20120117_wk03.zip
2012,4,ipgb20120124_wk04.zip
2012,5,ipgb20120131_wk05.zip
2012,6,ipgb20120207_wk06.zip
2012,7,ipgb20120214_wk07.zip
2012,8,ipgb20120221_wk08.zip
2012,9,ipgb20120228_wk09.zip
2012,10,ipgb20120306_wk10.zip
2012,11,ipgb20120313_wk11.zip
2012,12,ipgb20120320_wk12.zip
2012,13,ipgb20120327_wk13.zip
2012,14,ipgb20120403_wk14.zip
2012,15,ipgb20120410_wk15.zip
2012,16,ipgb20120417_wk16.zip
2012,17,ipgb20120424_wk17.zip
2012,18,ipgb20120501_wk18.zip
2012,19,ipgb20120508_wk19.zip
2012,20,ipgb20120515_wk20.zip
2012,21,ipgb20120522_wk21.zip
2012,22,ipgb20120529_wk22.zip
2012,23,ipgb20120605_wk23.zip
2012,24,ipgb20120612_wk24.zip
2012,25,ipgb20120619_wk25.zip
2012,26,ipgb20120626_wk26.zip
2012,27,ipgb20120703_wk27.zip
2012,28,ipgb20120710_wk28.zip
2012,29,ipgb20120717_wk29.zip
2012,30,ipgb20120724_wk30.zip
2012,31,ipgb20120731_wk31.zip
2012,32,ipgb20120807_wk32.zip
2012,33,ipgb20120814_wk33.zip
2012,34,ipgb20120821_wk34.zip
2012,35,ipgb20120828_wk35.zip
2012,36,ipgb20120904_wk36.zip
2012,37,ipgb20120911_wk37.zip
2012,38,ipgb20120918_wk38.zip
2012,39,ipgb20120925_wk39.zip
2012,40,ipgb20121002_wk40.zip
2012,41,ipgb20121009_wk41.zip
2012,42,ipgb20121016_wk42.zip
2012,43,ipgb20121023_wk43.zip
2012,44,ipgb20121030_wk44.zip
2012,45,ipgb20121106_wk45.zip
2012,46,ipgb20121113_wk46.zip
2012,47,ipgb20121120_wk47.zip
2012,48,ipgb20121127_wk48.zip
2012,49,ipgb20121204_wk49.zip
2012,50,ipgb20121211_wk50.zip
