year,week,file,name
2007,15,ipgb20070410_wk15.zip,ipgb20070410.xml
2007,16,ipgb20070417_wk16.zip,ipgb20070417.xml
2007,17,ipgb20070424_wk17.zip,ipgb20070424.xml
2007,18,ipgb20070501_wk18.zip,ipgb20070501.xml
2007,19,ipgb20070508_wk19.zip,ipgb20070508.xml
2007,20,ipgb20070515_wk20.zip,ipgb20070515.xml
2007,21,ipgb20070522_wk21.zip,ipgb20070522.xml
2007,22,ipgb20070529_wk22.zip,ipgb20070529.xml
2007,23,ipgb20070605_wk23.zip,ipgb20070605.xml
2007,24,ipgb20070612_wk24.zip,ipgb20070612.xml
2007,25,ipgb20070619_wk25.zip,ipgb20070619.xml
2007,26,ipgb20070626_wk26.zip,ipgb20070626.xml
2007,27,ipgb20070703_wk27.zip,ipgb20070703.xml
2007,28,ipgb20070710_wk28.zip,ipgb20070710.xml
2007,29,ipgb20070717_wk29.zip,ipgb20070717.xml
2007,30,ipgb20070724_wk30.zip,ipgb20070724.xml
2007,31,ipgb20070731_wk31.zip,ipgb20070731.xml
2007,32,ipgb20070807_wk32.zip,ipgb20070807.xml
2007,33,ipgb20070814_wk33.zip,ipgb20070814.xml
2007,34,ipgb20070821_wk34.zip,ipgb20070821.xml
2007,35,ipgb20070828_wk35.zip,ipgb20070828.xml
2007,36,ipgb20070904_wk36.zip,ipgb20070904.xml
2007,37,ipgb20070911_wk37.zip,ipgb20070911.xml
2007,38,ipgb20070918_wk38.zip,ipgb20070918.xml
2007,39,ipgb20070925_wk39.zip,ipgb20070925.xml
2007,40,ipgb20071002_wk40.zip,ipgb20071002.xml
2007,41,ipgb20071009_wk41.zip,ipgb20071009.xml
2007,42,ipgb20071016_wk42.zip,ipgb20071016.xml
2007,43,ipgb20071023_wk43.zip,ipgb20071023.xml
2007,44,ipgb20071030_wk44.zip,ipgb20071030.xml
2007,45,ipgb20071106_wk45.zip,ipgb20071106.xml
2007,46,ipgb20071113_wk46.zip,ipgb20071113.xml
2007,47,ipgb20071120_wk47.zip,ipgb20071120.xml
2007,48,ipgb20071127_wk48.zip,ipgb20071127.xml
2007,49,ipgb20071204_wk49.zip,ipgb20071204.xml
2007,50,ipgb20071211_wk50.zip,ipgb20071211.xml
2007,51,ipgb20071218_wk51.zip,ipgb20071218.xml
2007,52,ipgb20071225_wk52.zip,ipgb20071225.xml
2008,1,ipgb20080101_wk01.zip,ipgb20080101.xml
2008,2,ipgb20080108_wk02.zip,ipgb20080108.xml
2008,3,ipgb20080115_wk03.zip,ipgb20080115.xml
2008,4,ipgb20080122_wk04.zip,ipgb20080122.xml
2008,5,ipgb20080129_wk05.zip,ipgb20080129.xml
2008,6,ipgb20080205_wk06.zip,ipgb20080205.xml
2008,7,ipgb20080212_wk07.zip,ipgb20080212.xml
2008,8,ipgb20080219_wk08.zip,ipgb20080219.xml
2008,9,ipgb20080226_wk09.zip,ipgb20080226.xml
2008,10,ipgb20080304_wk10.zip,ipgb20080304.xml
